"","n","gamma","s","ntree","time","MSE"
"143",10000,0.6,5,250,4.98562421798706,246.198577644542
"144",10000,0.6,7,250,5.05452008247376,238.531738318127
"145",10000,0.6,9,250,5.11457738876343,239.509204737071
"146",10000,0.6,11,250,5.19631209373474,237.139920907617
"147",10000,0.6,13,250,5.25743651390076,235.00645441473
"148",10000,0.6,15,250,5.32368998527527,234.970508061488
"149",10000,0.6,17,250,5.39957890510559,234.641597188558
"150",10000,0.6,19,250,5.45937418937683,233.665732096063
"151",10000,0.6,1,300,5.72647671699524,288.040624052093
"152",10000,0.6,3,300,5.93620586395264,252.789584178199
"153",10000,0.6,5,300,6.02284507751465,246.584244231264
"154",10000,0.6,7,300,6.09948773384094,238.401002991494
"155",10000,0.6,9,300,6.18900632858276,239.188843792932
"156",10000,0.6,11,300,6.26405320167541,236.140572727739
"157",10000,0.6,13,300,6.34423336982727,235.103425408983
"158",10000,0.6,15,300,6.38162221908569,235.992105790304
"159",10000,0.6,17,300,6.452445936203,234.203832503979
"160",10000,0.6,19,300,6.5568067073822,232.297231253926
"161",10000,0.6,1,350,6.68080883026123,292.990661429894
"162",10000,0.6,3,350,6.92644352912903,253.220510594488
"163",10000,0.6,5,350,6.99018521308899,246.325517251598
"164",10000,0.6,7,350,7.09036355018616,238.066780893737
"165",10000,0.6,9,350,7.19023056030273,239.324575951105
"166",10000,0.6,11,350,7.32684164047241,236.377626797423
"167",10000,0.6,13,350,7.4591977596283,235.797468101068
"168",10000,0.6,15,350,7.53853540420532,235.315799348676
"169",10000,0.6,17,350,7.63206944465637,234.733573795661
"170",10000,0.6,19,350,7.73604655265808,233.572678864825
"171",10000,0.6,1,400,7.65416531562805,282.117333935966
"172",10000,0.6,3,400,7.8864351272583,253.071053716998
"173",10000,0.6,5,400,7.9911078453064,246.74369272905
"174",10000,0.6,7,400,8.113929271698,238.416261190723
"175",10000,0.6,9,400,8.28427820205689,239.405244905431
"176",10000,0.6,11,400,8.40303821563721,236.247050653775
"177",10000,0.6,13,400,8.52844934463501,235.450245984774
"178",10000,0.6,15,400,8.58812446594238,234.310234954298
"179",10000,0.6,17,400,8.78835258483887,234.608924754754
"180",10000,0.6,19,400,8.92920842170715,233.373866416511
"181",10000,0.6,1,450,8.58355593681335,269.38222042637
"182",10000,0.6,3,450,8.90978064537048,253.167210714361
"183",10000,0.6,5,450,9.07602686882019,246.678708553841
"184",10000,0.6,7,450,9.13642029762268,239.420372355581
"185",10000,0.6,9,450,9.31544480323791,238.802089404105
"186",10000,0.6,11,450,9.46108493804932,236.757016219945
"187",10000,0.6,13,450,9.60045990943909,234.924822120063
"188",10000,0.6,15,450,9.74784812927246,235.071948528033
"189",10000,0.6,17,450,9.88411116600037,234.484536235992
"190",10000,0.6,19,450,10.1037540912628,233.597530640937
"191",10000,0.6,1,500,9.52194004058838,291.171482033256
"192",10000,0.6,3,500,9.88855776786804,254.274241909849
"193",10000,0.6,5,500,10.0346871852875,245.974732225135
"194",10000,0.6,7,500,10.194272518158,238.874777706875
"195",10000,0.6,9,500,10.342248249054,238.322330916114
