"","yhat","se","yexp","diff","rf_result","real_y_rf"
"175",525.213409930251,0.347076387429998,526.094355507686,0.880945577435,522.878813792218,523.468518814306
"176",518.200896904358,0.2090147854778,516.987144364821,-1.2137525395367,525.219804454535,525.261741740327
"178",524.409722683095,0.35909562817282,525.539686305611,1.12996362251579,517.701294385545,517.272965407301
"179",515.505358087796,0.377595746825208,514.342929431588,-1.16242865620848,512.71706935826,512.066724445687
"183",522.85019821147,0.324342672139592,521.5592081778,-1.29099003366957,517.788328987585,516.987144364821
"184",523.415791920453,0.24818164010679,527.048158343088,3.63236642263553,523.178671189578,522.986685480303
"187",520.207263183424,0.368834153789128,520.339809136079,0.132545952654255,525.627075303221,525.539686305611
"188",525.329097373887,0.296050455294478,526.243885401421,0.914788027533973,514.497326975545,514.342929431588
"189",525.063416475378,0.240104541012027,527.692140360616,2.62872388523783,516.064068064136,517.829888065734
"191",519.366108215424,0.142573959973735,517.714196275663,-1.65191193976136,526.115007672797,527.048158343088
"192",522.674776344838,0.523057031317433,522.035502285353,-0.639274059484592,524.025496391873,523.676801192814
"194",522.554509004467,0.397134792171027,525.949371905077,3.39486290060984,526.408982586083,526.243885401421
"196",517.144849592098,0.281044163875731,515.804705300962,-1.34014429113677,522.360677034111,522.035502285353
"198",519.484133539299,0.194954762933154,519.391196394934,-0.0929371443644413,524.200057949463,524.643330934689
"200",522.954512612986,0.352457771966849,526.609806763549,3.65529415056278,523.144435832497,524.394154980504
"202",524.572025846661,0.271821894848551,526.74015985327,2.16813400660862,516.144877528537,515.804705300962
"206",522.50318412141,0.215743315794663,523.002497603188,0.499313481778245,519.892916688557,519.391196394934
"208",514.383011026043,0.306516515149632,512.661229561853,-1.72178146418958,521.151399759698,520.809347689235
"209",520.883474709606,0.298298258491016,522.04634837525,1.16287366564427,523.653008422653,526.609806763549
"210",523.224847417552,0.293247854097391,525.648006553922,2.42315913636946,515.568984566056,515.64727205426
"212",518.739533231251,0.326377160015217,515.033248031621,-3.70628519962997,531.645182160919,534.347273187358
"213",516.738740306942,0.300084108917522,516.852349990052,0.113609683109985,527.683056729196,527.479736244913
"214",523.241973042119,0.24345026353781,523.269327313832,0.0273542717128521,521.410569419295,522.04634837525
"215",522.138625716873,0.11933458179445,521.089121226705,-1.04950449016781,524.449888529258,525.648006553922
"217",525.154980005849,0.341427339505602,525.054024818965,-0.100955186883994,516.484762727008,516.852349990052
"218",520.262581608826,0.330950750670383,518.804924001745,-1.45765760708116,523.670048779754,523.269327313832
"223",523.858751337854,0.367321755679718,524.670508834272,0.811757496417954,522.216284708306,521.089121226705
"228",529.004440702809,0.225134019902042,534.44669984651,5.44225914370168,518.567536394733,519.395095220952
"229",523.206854298289,0.2452000066189,525.568807500612,2.36195320232366,520.468961178496,518.804924001745
"231",521.375730695343,0.44887612990902,520.637462382307,-0.73826831303677,522.476936540405,523.153746515139
"232",517.659461851139,0.25630770072787,516.480870640217,-1.17859121092283,527.801343109986,529.678442365069
"233",521.70357400938,0.391278187844093,521.237423398446,-0.466150610934051,522.946583116682,521.526967770062
"238",525.752210704556,0.371658187881804,526.815234745963,1.06302404140672,525.608268311519,524.670508834272
"241",519.904780382707,0.298571537136767,522.136821830468,2.23204144776128,524.748917490769,525.279403730897
"242",521.135897414839,0.307880185226705,522.11500992624,0.979112511400785,530.518080765717,534.44669984651
"244",515.282712121667,0.270933988693136,510.250830245023,-5.03188187664438,524.58185523127,525.568807500612
"245",515.078709332876,0.212230415610287,513.221927932488,-1.85678140038851,520.9512738391,520.637462382307
